Name,Publisher,Global_Sales
BlazBlue: Continuum Shift II,PQube,0.13
BlazBlue: Continuum Shift II,PQube,0.11
BlazBlue Central Fiction,PQube,0.08
Blazing Angels: Squadrons of WWII,Ubisoft,0.66
Blazing Angels: Squadrons of WWII,Ubisoft,0.42
Blazing Angels: Squadrons of WWII,Ubisoft,0.08
Blazing Angels: Squadrons of WWII,Ubisoft,0.02
Blazing Angels: Squadrons of WWII,Ubisoft,0.83
Blazing Angels 2: Secret Missions of WWII,Ubisoft,0.15
Blazing Angels 2: Secret Missions of WWII,Ubisoft,0.14
Bleach: Dark Souls,Sega,0.15
Bleach: Shattered Blade,Sega,0.32
Bleach: Soul Resurreccion,Nippon Ichi Software,0.49
Bleach: The 3rd Phantom,Sega,0.2
Bleach: The Blade of Fate,Sega,0.45
Blinx: The Time Sweeper,Microsoft Game Studios,0.56
Blitz: The League,Midway Games,0.53
Blitz: The League,Unknown,0.89
Blitz: The League,Midway Games,0.16
Blitz: The League II,Midway Games,0.15
Blitz: The League II,Midway Games,0.1
Bloodborne,Sony Computer Entertainment,2.48
Blood Bowl,Focus Home Interactive,0.16
Blood Bowl,Focus Home Interactive,0.04
Blood Bowl: Legendary Edition,Focus Home Interactive,0.02
Blood Drive,Activision,0.11
Blood Drive,Activision,0.07
Blood Omen 2,Eidos Interactive,0.39
Blood Omen 2,Eidos Interactive,0.19
BloodRayne,Universal Interactive,0.42
BloodRayne,Universal Interactive,0.21
BloodRayne,Universal Interactive,0.11
BloodRayne 2,THQ,0.27
BloodRayne 2,THQ,0.15
Blood Wake,Microsoft Game Studios,0.57
Bloody Roar: Primal Fury,Activision,0.18
Bloody Roar 3,Virgin Interactive,0.35
Bloody Roar 4,Konami Digital Entertainment,0.09
Bloody Roar Extreme,Hudson Soft,0.04
BlowOut,Zoo Digital Publishing,0.23
Blue Dragon,Microsoft Game Studios,0.92
Blue Dragon: Awakened Shadow,Namco Bandai Games,0.1
Blue Dragon Plus,Ignition Entertainment,0.21
Blur,Activision,0.72
Blur,Activision,0.59
Blur,Activision,0.06
BMX XXX,Acclaim Entertainment,0.15
BMX XXX,Acclaim Entertainment,0.11
BMX XXX,Acclaim Entertainment,0.06
Body and Brain Connection,Namco Bandai Games,0.2
Bodycount,Codemasters,0.11
Bodycount,Codemasters,0.11
Boktai: The Sun is in Your Hand,Konami Digital Entertainment,0.15
Boktai 2: Solar Boy Django,Konami Digital Entertainment,0.04
Bolt,Disney Interactive Studios,0.56
Bolt,Disney Interactive Studios,0.25
Bolt,Disney Interactive Studios,0.19
Bombastic,Capcom,0.05
Bomberman,Ubisoft,0.15
