Name,Critic_Score
Chicken Run,75
Chicken Shoot,27
Chicken Shoot,19
Child of Eden,84
Child of Eden,81
Child of Light,83
Child of Light,82
Children of Mana,65
Chili Con Carnage,74
Chromehounds,71
Chrono Cross,94
Chrono Trigger,92
Circus Maximus: Chariot Wars,67
Cities: Skylines,85
Cities: Skylines Snowfall,72
Cities in Motion,70
Cities XL 2011,70
Cities XL 2012,61
City Crisis,63
City Life: World Edition,75
Clash of the Titans,41
Clash of the Titans,42
Classic NES Series: Castlevania,74
Classic NES Series: Donkey Kong,55
Classic NES Series: Dr. Mario,66
Classic NES Series: Metroid,58
Classic NES Series: Super Mario Bros.,84
Classic NES Series: The Legend of Zelda,84
Classic NES Series: Zelda II: The Adventure of Link,73
Class of Heroes,61
Clive Barker's Jericho,63
Clive Barker's Jericho,60
Clive Barker's Jericho,63
Clock Tower 3,69
Clock Tower II: The Struggle Within,49
Close Combat: First to Fight,69
Cloudy With a Chance of Meatballs,68
Cloudy With a Chance of Meatballs,66
Cloudy With a Chance of Meatballs,62
Clubhouse Games,83
Coded Arms,59
Coded Arms: Contagion,56
Code Lyoko,63
Code Lyoko: Fall of X.A.N.A.,51
Code Lyoko: Quest for Infinity,58
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,49
Codename: Panzers Cold War,67
Codename: Panzers Phase Two,80
Code Name: S.T.E.A.M.,69
Code of Princess,67
Cold Fear,68
Cold Fear,71
Cold War,60
Cold Winter,73
Colin McRae Rally 04,84
Colin McRae Rally 04,87
Colin McRae Rally 2.0,90
Colin McRae Rally 2005,83
Colin McRae Rally 2005,83
Colin McRae Rally 3,86
Colin McRae Rally 3,86
College Hoops 2K6,82
College Hoops 2K6,70
College Hoops 2K7,82
College Hoops 2K7,81
College Hoops 2K8,81
College Hoops 2K8,82
Colony Wars,91
Colosseum: Road to Freedom,56
Combat: Task Force 121,44
Combat Flight Simulator 3: Battle for Europe,69
Combat Mission: Shock Force,62
Combat of Giants: Dinosaurs 3D,44
Commander: Conquest of the Americas,68
Commandos: Strike Force,58
Commandos 2: Men of Courage,67
Commandos 2: Men of Courage,67
Commandos 3: Destination Berlin,72
Company of Heroes,93
Company of Heroes: Opposing Fronts,87
Company of Heroes: Tales of Valor,70
Company of Heroes 2,80
Conan,69
Conan,69
Conception II: Children of the Seven Stars,62
Conception II: Children of the Seven Stars,62
Condemned: Criminal Origins,81
Condemned 2: Bloodshot,80
Condemned 2: Bloodshot,82
Conduit 2,64
Conflict: Denied Ops,52
Conflict: Denied Ops,51
Conflict: Denied Ops,58
Conflict: Desert Storm,55
Conflict: Desert Storm,65
Conflict: Desert Storm,62
Conflict: Global Terror,62
Conflict: Global Terror,62
Conflict: Vietnam,58
Conflict: Vietnam,60
Conflict Zone,47
Constantine,58
Constantine,60
Contact,73
Contra: Shattered Soldier,78
Contra 4,83
Contrast,62
Cooking Mama,67
Cooking Mama: Cook Off,61
Cooking Mama: World Kitchen,62
Cooking Mama 2: Dinner With Friends,70
Cooking Mama 4: Kitchen Magic!,56
Coraline,39
Coraline,42
Corpse Party: Blood Drive,60
Corpse Party: Book of Shadows,67
Corvette,53
Corvette,57
Cosmic Family,54
Cossacks: European Wars,74
Counter-Strike,74
Counter-Strike: Source,88
Crackdown,83
Crackdown 2,70
Cranium Kabookii,64
Crash: Mind Over Mutant,73
Crash: Mind Over Mutant,60
Crash: Mind Over Mutant,70
Crash: Mind Over Mutant,45
Crash: Twinsanity,64
Crash: Twinsanity,66
Crash 'N' Burn,63
Crash 'N' Burn,65
Crash Bandicoot: The Huge Adventure,78
Crash Bandicoot: The Wrath of Cortex,66
Crash Bandicoot: The Wrath of Cortex,70
Crash Bandicoot: The Wrath of Cortex,62
Crash Bandicoot 2: N-Tranced,75
Crash Bandicoot 3: Warped,91
Crash Bandicoot Purple: Ripto's Rampage,67
